date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:48:44	96345/96345	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2015:48:43%20GMT	https://stmatts.org/parish-hall	stmatts.org/parish-hall.html	(from https://stmatts.org/)
22:48:45	95083/95083	---MCZ	200	added ('OK')	text/html	etag:W/%22b0dc15b09cad0ebb32438ce1f725c0a2%22	https://stmatts.org/mcdonaldfamilycenter	stmatts.org/mcdonaldfamilycenter.html	(from https://stmatts.org/)
22:48:46	99778/99778	---MCZ	200	added ('OK')	text/html	etag:W/%22371f1338aca3ed6dcfbe289d79b21010%22	https://stmatts.org/athletic-center	stmatts.org/athletic-center.html	(from https://stmatts.org/)
22:48:47	95847/95847	---MCZ	200	added ('OK')	text/html	etag:W/%22910e973ff91055c7b3a7dd0e72ab8c2c%22	https://stmatts.org/sportspark	stmatts.org/sportspark.html	(from https://stmatts.org/)
22:48:48	91761/91761	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2015:48:47%20GMT	https://stmatts.org/donate	stmatts.org/donate.html	(from https://stmatts.org/)
22:48:49	117839/117839	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2015:48:48%20GMT	https://stmatts.org/bulletins	stmatts.org/bulletins.html	(from https://stmatts.org/)
22:48:50	168196/168196	---M--	200	added ('OK')	application/pdf	etag:%2206900944e1a7867a84fcf3ad1dfe717e%22	https://stmatts.org/documents/2021/6/Responses%20for%20Mass%201.pdf	stmatts.org/documents/2021/6/Responses%20for%20Mass%201.pdf	(from https://stmatts.org/)
22:48:52	99624/99624	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2015:48:51%20GMT	https://stmatts.org/pastors-message	stmatts.org/pastors-message.html	(from https://stmatts.org/)
22:48:52	1132240/1132240	---M--	200	added ('OK')	image/png	etag:%22b99c3e4f1fcacc98b989af5b0dcbe85e%22	https://stmatts.org/pictures/2020/1/anotherInteriorBackground_02.png	stmatts.org/pictures/2020/1/anotherInteriorBackground_02.png	(from https://stmatts.org/)
22:48:53	91906/91906	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2015:48:53%20GMT	https://stmatts.org/daily-readings	stmatts.org/daily-readings.html	(from https://stmatts.org/)
22:48:53	91160/91160	---M--	200	added ('OK')	image/jpeg	etag:%224a533a7ffaf40f3fc4bf073f50602f11%22	https://stmatts.org/pictures/2021/2/Pages%20from%20Appeal_Resilent_in_Faith_and_Service_Flyer_Half_Pg.jpg	stmatts.org/pictures/2021/2/Pages%20from%20Appeal_Resilent_in_Faith_and_Service_Flyer_Half_Pg.jpg	(from https://stmatts.org/)
22:48:55	103155/103155	---M--	200	added ('OK')	image/jpeg	etag:%22f5d2a5b4eb988b1dbc582be0a8459f2a%22	https://stmatts.org/pictures/2020/3/meditation.jpg	stmatts.org/pictures/2020/3/meditation.jpg	(from https://stmatts.org/)
22:48:56	90895/90895	---MCZ	200	added ('OK')	text/html	etag:W/%228adc7eb492e6e5a1adaba9b358736860%22	https://stmatts.org/events/altar-server-training	stmatts.org/events/altar-server-training.html	(from https://stmatts.org/)
22:48:56	1639/1639	---M--	200	added ('OK')	text/calendar	date:Mon,%2005%20Jul%202021%2015:48:56%20GMT	https://stmatts.org/icalendar1.ics	stmatts.org/icalendar1.ics	(from https://stmatts.org/)
22:48:58	98877/98877	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2015:48:57%20GMT	https://stmatts.org/events?page=1	stmatts.org/events2679.html	(from https://stmatts.org/)
22:48:58	16933/16933	---M--	200	added ('OK')	image/png	etag:%22f0cea9991740a042a8a502c597c55c31%22	https://stmatts.org/design/footerLogo_03.png	stmatts.org/design/footerLogo_03.png	(from https://stmatts.org/)
22:48:59	836/836	---M--	200	added ('OK')	image/png	etag:%22153f169835fcb53acf59239328f24c46%22	https://stmatts.org/pictures/2021/3/z-youtube.png	stmatts.org/pictures/2021/3/z-youtube.png	(from https://stmatts.org/)
22:49:00	6344/6344	---M--	200	added ('OK')	image/png	etag:%2232d4ab3d8b9f30b6144d43755778a331%22	https://stmatts.org/design/footerIcon1_03.png	stmatts.org/design/footerIcon1_03.png	(from https://stmatts.org/)
22:49:01	6557/6557	---M--	200	added ('OK')	image/png	etag:%223300976ed1b6a46f8d6d9fd013360a03%22	https://stmatts.org/design/footerIcon2_03.png	stmatts.org/design/footerIcon2_03.png	(from https://stmatts.org/)
22:49:02	7543/7543	---M--	200	added ('OK')	image/png	etag:%221b5c0518c2c85364d29c3eaa416b87bd%22	https://stmatts.org/design/footerIcon3_03.png	stmatts.org/design/footerIcon3_03.png	(from https://stmatts.org/)
22:49:03	8865/8865	---M--	200	added ('OK')	image/png	etag:%22d9ff8ef7847f18cfcace409f5063b78e%22	https://stmatts.org/design/footerIcon4_03.png	stmatts.org/design/footerIcon4_03.png	(from https://stmatts.org/)
